#{"t_start": 1763592594.411937, "env_id": "None"}
r,l,t
1122.692483,542,841.616848
4969.109359,1220,850.438979
1632.785508,737,853.876569
4965.820406,1233,859.622744
2001.944281,730,863.087015
4972.494737,1225,868.786961
4405.02483,1142,874.227824
4976.466121,1189,879.920324
4965.807125,1228,885.683894
4283.333424,1209,891.394916
4433.4141,1254,900.709802
1970.549657,776,904.378249
4973.097928,1212,910.044156
4536.352854,1196,915.630281
4964.174742,1255,921.483774
4966.015837,1243,927.268462
3112.035545,889,931.447638
4970.206802,1202,937.095199
4977.744942,1182,942.553422
4367.311477,1185,951.386594
4968.756684,1216,957.087908
4987.701758,1107,962.246844
4976.43464,1161,967.631481
4968.12327,1227,973.311637
4971.61074,1193,978.827664
4981.687053,1132,984.089334
3802.567719,1045,988.946061
4975.315031,1169,999.647284
4979.282432,1163,1005.008642
4977.821005,1167,1010.409065
3132.894083,1066,1015.335144
4971.961567,1207,1020.902296
4959.587223,1272,1026.762345
4412.962759,1160,1032.104439
4978.003139,1165,1037.437393
4157.748809,1092,1042.44386
4979.980032,1153,1051.00058
4968.56436,1214,1056.625132
4005.919309,1060,1061.508237
2305.088672,810,1065.248366
4978.741075,1168,1070.635289
4972.962703,1200,1076.195445
4969.111395,1221,1081.842868
4974.451265,1194,1087.349091
4960.202279,1267,1093.202607
3637.553086,1032,1101.201636
4970.901814,1200,1106.716939
4981.971275,1152,1112.021466
4962.566263,1275,1117.917787
930.656383,493,1120.178561
4970.007947,1222,1125.795586
4977.420144,1170,1131.208208
4332.945749,1029,1135.947446
2076.801783,721,1139.259315
4981.883557,1152,1147.792798
4969.865406,1234,1153.4676
4970.119274,1233,1159.127949
4968.826174,1231,1164.780864
4500.370196,1223,1170.401049
4978.823742,1172,1175.806978
1740.036607,670,1178.889159
4965.692661,1259,1184.708479
3674.257522,974,1189.228605
4978.77042,1158,1197.588059
2766.803916,975,1202.080225
917.205549,497,1204.372573
1343.675883,594,1207.108783
4974.568802,1177,1212.515129
4980.908863,1141,1217.747317
4967.072272,1249,1223.584213
4971.919092,1192,1229.06022
4977.205293,1169,1234.423436
4980.056973,1153,1239.785578
4969.48642,1217,1248.761394
4962.31188,1281,1254.748616
3589.585739,1071,1259.699362
2398.625142,829,1263.563299
4977.020571,1188,1269.156342
4978.791904,1144,1274.417538
4979.323086,1161,1279.793796
4980.047545,1164,1285.151358
